CAM	participantCAM	id	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
2187	foblcr2_2187	31744	31784	31791	6	1	0	NA	NA
2187	foblcr2_2187	31743	31783	31791	6	1	0	NA	NA
2187	foblcr2_2187	31742	31782	31791	6	1	0	NA	NA
2187	foblcr2_2187	31741	31778	31787	6	1	0	NA	NA
2187	foblcr2_2187	31740	31778	31791	6	1	0	NA	NA
2187	foblcr2_2187	31739	31779	31780	6	1	0	NA	NA
2187	foblcr2_2187	31738	31779	31781	6	1	0	NA	NA
2187	foblcr2_2187	31737	31779	31781	6	1	0	NA	NA
2187	foblcr2_2187	31736	31778	31779	6	1	0	NA	NA
2187	foblcr2_2187	31735	31778	31789	6	1	0	NA	NA
2187	foblcr2_2187	31734	31778	31785	6	1	0	NA	NA
2157	gicrto2_2157	31236	31278	31339	9	0	0	NA	NA
2157	gicrto2_2157	31235	31278	31350	6	0	0	NA	NA
2157	gicrto2_2157	31234	31325	31316	6	0	1	NA	NA
2157	gicrto2_2157	31233	31278	31316	6	0	0	NA	NA
2157	gicrto2_2157	31226	31335	31352	6	0	0	NA	NA
2157	gicrto2_2157	31225	31320	31335	6	0	0	NA	NA
2157	gicrto2_2157	31224	31320	31329	9	0	0	NA	NA
2157	gicrto2_2157	31223	31278	31320	6	0	0	NA	NA
2157	gicrto2_2157	31221	31278	31320	6	0	0	NA	NA
2157	gicrto2_2157	31220	31344	31300	6	1	1	NA	NA
2157	gicrto2_2157	31219	31310	31313	6	1	0	NA	NA
2157	gicrto2_2157	31218	31278	31313	6	1	0	NA	NA
2157	gicrto2_2157	31217	31278	31302	9	1	0	NA	NA
2157	gicrto2_2157	31216	31300	31305	6	1	0	NA	NA
2157	gicrto2_2157	31214	31300	31307	6	1	0	NA	NA
2157	gicrto2_2157	31213	31284	31296	6	1	0	NA	NA
2157	gicrto2_2157	31212	31278	31296	9	1	0	NA	NA
2157	gicrto2_2157	31211	31278	31300	9	1	0	NA	NA
2121	grstri2_2121	30473	30651	30751	6	1	0	NA	NA
2121	grstri2_2121	30575	30751	30899	6	0	0	NA	NA
2183	guohti2_2183	31621	31717	31719	6	1	1	NA	NA
2183	guohti2_2183	31619	31713	31718	6	1	0	NA	NA
2183	guohti2_2183	31618	31711	31718	6	1	0	NA	NA
2183	guohti2_2183	31617	31711	31715	6	1	0	NA	NA
