session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
608eaa40acd5ad6b86de8580,5f21be8126b25311f0fac397,RETURNED,2021-05-02 13:33:52.622000,,78156.617006,19,169,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa40e69b774888fa25e0,5fecb45bf0b5ed997f79db67,AWAITING REVIEW,2021-05-02 13:33:52.729000,2021-05-02 14:24:55.479000,3062.75,20,131,0,100,,2A25E7C1,United Kingdom,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,English,United Kingdom,Male,Yes
608eaa41218a3f98a084950b,5847e60f73170700013697c6,AWAITING REVIEW,2021-05-02 13:33:53.409000,2021-05-02 15:01:16.915000,5243.506,34,530,2,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eaa41229a13db21894f14,5ef5f74fb4a08f2676fb3aba,AWAITING REVIEW,2021-05-02 13:34:42.266000,2021-05-02 15:30:25.905000,6943.639,50,341,2,100,,2A25E7C1,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
608eaa41350573d7164b95b2,598c4b28cceb0f0001b39675,RETURNED,2021-05-02 13:33:53.236000,,78156.032345,40,970,6,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa413c9ea8654dee0bb3,5f4671a7945ff70281441e4e,AWAITING REVIEW,2021-05-02 13:33:53.736000,2021-05-02 13:48:46.988000,893.252,25,162,5,96,,NOCODE,Canada,Canada,Full-Time,DATA EXPIRED,English,Canada,Male,No
608eaa419cbcbf35ebd743c5,571de12713b1b70012be47f6,AWAITING REVIEW,2021-05-02 13:33:53.776000,2021-05-02 14:40:32.721000,3998.945,65,2051,9,100,,2A25E7C1,India,United Kingdom,Part-Time,English,English,United Kingdom,Male,No
608eaa41b18632eb475470df,5a6e4286e6cc4a0001b6d281,AWAITING REVIEW,2021-05-02 13:33:53.117000,2021-05-02 14:48:07.621000,4454.504,32,232,5,98,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eaa41b1d8eece9c471220,605ce891350e9be9205be25f,AWAITING REVIEW,2021-05-02 13:34:09.128000,2021-05-02 14:40:08.271000,3959.143,24,16,0,100,,2A25E7C1,United Kingdom,United Kingdom,Part-Time,,English,United Kingdom,Male,No
608eaa41e99a13bd732aa29d,5ce4ab0e5c42e900017efd34,TIMED-OUT,2021-05-02 13:33:53.598000,,78155.712275,23,107,1,100,,,Australia,Australia,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,Australia,Female,Yes
608eaa423a8be7096c0cb54f,5ac033fa68b65b00018d2c1a,RETURNED,2021-05-02 13:33:54.181000,,78155.139269,36,447,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa423c9ea8654dee0bb4,5de4eb36c4ba0907aedd3443,AWAITING REVIEW,2021-05-02 13:33:54.696000,2021-05-02 14:24:04.481000,3009.785,27,372,5,99,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eaa42b7c5d3038e756c5a,606a2905de983f03b5db05f7,AWAITING REVIEW,2021-05-02 13:33:54.500000,2021-05-02 14:49:43.270000,4548.77,31,38,0,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,Yes
608eaa43452162d4fc089bee,5d62b2186f363200168bbb85,RETURNED,2021-05-02 13:44:00.125000,,77549.216577,58,687,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa43a2e67c602742ccfc,546e8bc6fdf99b2bc7ebd029,TIMED-OUT,2021-05-02 13:34:12.993000,,78136.348707,32,1595,1,100,,,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
608eaa503cf33eba0768abf3,5f4faaa78d88ed0955209226,RETURNED,2021-05-02 13:34:08.745000,,78140.609673,20,66,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa5a2e6952f7ec2b39ff,5e317d6d8c821b000aec84b3,AWAITING REVIEW,2021-05-02 13:34:18.109000,2021-05-02 14:21:52.163000,2854.054,52,340,1,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eabb232f152ae0fdd1933,5ea98a3faafdd809224b48ec,AWAITING REVIEW,2021-05-02 13:40:02.421000,2021-05-02 14:03:27.021000,1404.6,23,193,0,100,,NOCODE,United Kingdom,Portugal,Full-Time,Portuguese,English,Portugal,Male,Yes
608eac5bcff70970c63d8c81,55eb3fea748092000daa9b25,AWAITING REVIEW,2021-05-02 13:43:18.569000,2021-05-02 14:32:24.709000,2946.14,20,438,1,100,,2A25E7C1,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
608eac889368d7eed7a7ca99,60713f9d336836817dacabc7,AWAITING REVIEW,2021-05-02 13:43:36.159000,2021-05-02 15:29:51.234000,6375.075,35,51,0,100,,2A25E7C1,United States,,Full-Time,,English,United States,Male,No
608eaca025a5f92710959988,5ec7b132b11a172266fd8915,RETURNED,2021-05-02 13:44:04.923000,,77544.470626,34,262,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaca0a05368c2a99565d2,5dcf0e94fce60605794da411,AWAITING REVIEW,2021-05-02 13:44:12.795000,2021-05-02 14:36:33.826000,3141.031,,1225,3,100,,2A25E7C1,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Male,No
608ead43d599666dd197bc18,6069da3bec564fdd3645dab3,AWAITING REVIEW,2021-05-02 13:47:02.038000,2021-05-02 15:06:47.010000,4784.972,49,32,1,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,Yes
608ead55eeb0da6e8831c121,606aeb3ee107648871fa0479,AWAITING REVIEW,2021-05-02 13:47:01.595000,2021-05-02 15:10:07.411000,4985.816,29,10,0,100,,NOCODE,Nigeria,Netherlands,Unemployed (and job seeking),,English,Nigeria,Female,Yes
608ead625dd193aaf6b827cf,601867fe8e5c370dbff4fcef,AWAITING REVIEW,2021-05-02 13:47:14.089000,2021-05-02 16:08:55.395000,8501.306,22,88,1,100,,2A25E7C1,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,No
608ead79e91eeb694bae7325,6086a11397234e7f83e4e793,AWAITING REVIEW,2021-05-02 13:48:00.781000,2021-05-02 14:36:12.673000,2891.892,31,25,0,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,No
